#{"t_start": 1681093798.927263, "env_id": "CartPole-v1"}
r,l,t
13.0,13,0.023685
65.0,65,0.174151
19.0,19,0.238895
16.0,16,0.247175
17.0,17,0.30598
26.0,26,0.316756
18.0,18,0.375862
17.0,17,0.382652
65.0,65,0.530099
55.0,55,0.675554
40.0,40,0.74464
148.0,148,1.070601
137.0,137,1.351515
188.0,188,1.729159
150.0,150,2.065596
157.0,157,2.369991
215.0,215,2.792033
130.0,130,3.034305
119.0,119,3.233922
104.0,104,3.472602
130.0,130,3.72811
159.0,159,4.028044
203.0,203,4.392632
500.0,500,5.386269
315.0,315,5.981491
214.0,214,6.587203
182.0,182,6.957809
149.0,149,7.225495
145.0,145,7.519268
244.0,244,7.998624
500.0,500,8.897813
500.0,500,9.897217
500.0,500,10.82276
500.0,500,11.804127
500.0,500,13.421856
500.0,500,14.333818
500.0,500,15.319119
500.0,500,16.310343
500.0,500,17.23144
500.0,500,18.198223
500.0,500,19.500596
500.0,500,20.505194
500.0,500,21.478224
500.0,500,22.418767
500.0,500,23.52546
500.0,500,24.616117
500.0,500,25.752805
