#{"t_start": 1681093798.9262123, "env_id": "CartPole-v1"}
r,l,t
10.0,10,0.02296
28.0,28,0.104861
33.0,33,0.172212
14.0,14,0.177881
53.0,53,0.310628
43.0,43,0.379858
20.0,20,0.460059
59.0,59,0.607799
55.0,55,0.678169
92.0,92,0.871453
326.0,326,1.551343
151.0,151,1.878747
165.0,165,2.191652
201.0,201,2.6133
207.0,207,2.979967
113.0,113,3.224983
40.0,40,3.29036
102.0,102,3.478702
118.0,118,3.729661
113.0,113,3.916928
189.0,189,4.273693
500.0,500,5.270097
342.0,342,5.895524
199.0,199,6.518985
211.0,211,6.902761
167.0,167,7.226471
191.0,191,7.587243
240.0,240,8.065782
500.0,500,9.012917
500.0,500,9.960646
500.0,500,10.946376
500.0,500,11.868979
500.0,500,13.48895
500.0,500,14.4492
500.0,500,15.386233
500.0,500,16.379575
500.0,500,17.34649
500.0,500,18.266672
500.0,500,19.625814
500.0,500,20.574928
500.0,500,21.544329
500.0,500,22.540674
500.0,500,23.590368
500.0,500,24.698426
500.0,500,25.887831
