#{"t_start": 1681093798.9277632, "env_id": "CartPole-v1"}
r,l,t
12.0,12,0.022538
32.0,32,0.10617
74.0,74,0.249218
59.0,59,0.376679
29.0,29,0.460452
31.0,31,0.52191
39.0,39,0.612383
78.0,78,0.79565
174.0,174,1.143106
152.0,152,1.468455
107.0,107,1.667748
191.0,191,2.066739
183.0,183,2.430584
458.0,458,3.292563
53.0,53,3.41195
115.0,115,3.603685
128.0,128,3.856132
228.0,228,4.276333
500.0,500,5.27306
500.0,500,6.448515
230.0,230,6.897214
168.0,168,7.220087
176.0,176,7.576271
259.0,259,8.061744
500.0,500,8.95836
500.0,500,9.956708
500.0,500,10.942186
500.0,500,11.865035
500.0,500,13.484859
500.0,500,14.39748
500.0,500,15.382129
500.0,500,16.375096
500.0,500,17.295099
500.0,500,18.262632
500.0,500,19.62122
500.0,500,20.570185
500.0,500,21.540366
500.0,500,22.486113
500.0,500,23.586358
500.0,500,24.6935
500.0,500,25.833407
