#{"t_start": 1681093798.9287016, "env_id": "CartPole-v1"}
r,l,t
29.0,29,0.02894
14.0,14,0.104738
19.0,19,0.113397
34.0,34,0.179771
13.0,13,0.243714
102.0,102,0.46159
28.0,28,0.522012
44.0,44,0.614288
86.0,86,0.8018
233.0,233,1.275575
132.0,132,1.549417
164.0,164,1.935695
101.0,101,2.121189
171.0,171,2.43332
269.0,269,2.921452
117.0,117,3.168951
56.0,56,3.288828
115.0,115,3.481722
145.0,145,3.791413
133.0,133,4.033283
218.0,218,4.451543
500.0,500,5.446339
306.0,306,6.038728
159.0,159,6.523499
229.0,229,6.962256
174.0,174,7.336347
207.0,207,7.703546
443.0,443,8.536399
500.0,500,9.498791
500.0,500,10.451565
500.0,500,11.443642
500.0,500,12.432785
500.0,500,13.963243
500.0,500,14.935237
500.0,500,15.872081
500.0,500,16.865381
500.0,500,17.820455
500.0,500,18.754545
500.0,500,20.112636
500.0,500,21.109649
500.0,500,22.026669
500.0,500,23.103624
500.0,500,24.13964
500.0,500,25.322819
