#{"t_start": 1681093798.9282372, "env_id": "CartPole-v1"}
r,l,t
28.0,28,0.028844
21.0,21,0.107928
76.0,76,0.252037
50.0,50,0.375373
22.0,22,0.45625
17.0,17,0.463357
36.0,36,0.526767
47.0,47,0.669152
59.0,59,0.796211
168.0,168,1.140592
118.0,118,1.402514
97.0,97,1.60014
137.0,137,1.873745
145.0,145,2.130418
175.0,175,2.491558
220.0,220,2.913278
123.0,123,3.162488
109.0,109,3.351803
139.0,139,3.603294
151.0,151,3.91296
148.0,148,4.206086
500.0,500,5.153571
500.0,500,6.155575
199.0,199,6.716097
148.0,148,7.016201
164.0,164,7.339547
161.0,161,7.64028
236.0,236,8.068293
500.0,500,9.016066
500.0,500,10.00806
500.0,500,10.948995
500.0,500,11.918857
500.0,500,13.491502
500.0,500,14.452271
500.0,500,15.439209
500.0,500,16.383164
500.0,500,17.349587
500.0,500,18.319134
500.0,500,19.629415
500.0,500,20.636736
500.0,500,21.546942
500.0,500,22.543325
500.0,500,23.640553
500.0,500,24.702498
500.0,500,25.890654
