#{"t_start": 1681093798.9267359, "env_id": "CartPole-v1"}
r,l,t
13.0,13,0.024158
51.0,51,0.116161
21.0,21,0.177418
46.0,46,0.307102
34.0,34,0.372802
13.0,13,0.378173
21.0,21,0.45871
44.0,44,0.525621
86.0,86,0.737526
35.0,35,0.801436
120.0,120,1.065465
38.0,38,1.140952
124.0,124,1.405945
116.0,116,1.610328
103.0,103,1.870401
195.0,195,2.244911
109.0,109,2.434839
261.0,261,2.91999
119.0,119,3.168283
77.0,77,3.296243
113.0,113,3.538016
160.0,160,3.851121
137.0,137,4.094215
138.0,138,4.337772
500.0,500,5.333458
386.0,386,6.098294
148.0,148,6.583265
187.0,187,6.95529
172.0,172,7.281377
175.0,175,7.586785
226.0,226,8.009673
500.0,500,8.956273
500.0,500,9.954414
500.0,500,10.891026
500.0,500,11.862833
500.0,500,13.482175
500.0,500,14.394527
500.0,500,15.379877
500.0,500,16.321813
500.0,500,17.292953
500.0,500,18.260091
500.0,500,19.570273
500.0,500,20.567267
500.0,500,21.538027
500.0,500,22.483676
500.0,500,23.583728
500.0,500,24.630517
500.0,500,25.830057
