#{"t_start": 1681093798.9256551, "env_id": "CartPole-v1"}
r,l,t
16.0,16,0.026587
19.0,19,0.103728
68.0,68,0.243657
44.0,44,0.314623
51.0,51,0.459276
31.0,31,0.520789
73.0,73,0.673732
221.0,221,1.142564
125.0,125,1.407968
33.0,33,1.471073
43.0,43,1.547664
171.0,171,1.883336
169.0,169,2.24825
274.0,274,2.744573
210.0,210,3.168889
120.0,120,3.41234
150.0,150,3.676688
174.0,174,4.031281
98.0,98,4.210325
208.0,208,4.581222
500.0,500,5.572974
328.0,328,6.392302
231.0,231,6.84364
165.0,165,7.213055
157.0,157,7.466462
200.0,200,7.882722
500.0,500,8.781395
500.0,500,9.768955
500.0,500,10.756087
500.0,500,11.692833
500.0,500,13.301651
500.0,500,14.213921
500.0,500,15.192486
500.0,500,16.193006
500.0,500,17.106486
500.0,500,18.069098
500.0,500,19.431651
500.0,500,20.387845
500.0,500,21.350396
500.0,500,22.291404
500.0,500,23.397934
500.0,500,24.458755
500.0,500,25.609629
